id;title;start_at;end_at;description;status;priority
1;Officer Saudi New;2021-03-21T07:28:11;2021-03-21T00:06:30;bypass payment;PENDING;LOW
2;deliver;2021-03-21T00:06:56;2021-03-21T06:04:15;models architectures;COMPLETED;LOW
3;Cedi;2021-03-21T03:19:11;2021-03-21T08:04:45;Omani Senior;COMPLETED;MEDIUM
4;Persistent Samoa budgetary;2021-03-20T12:47:26;2021-03-20T18:56:12;port;CREATED;MEDIUM
5;Global Program;2021-03-20T18:06:54;2021-03-20T12:12:39;bluetooth Profit-focused;PENDING;LOW
6;Peru Directives well-modulated;2021-03-21T09:56:10;2021-03-21T02:55:08;content-based Chips;COMPLETED;LOW
7;Enterprise-wide;2021-03-20T12:53:09;2021-03-20T22:13:14;plum Concrete Tuna;CREATED;LOW
8;didactic Colombian Dalasi;2021-03-21T07:30:25;2021-03-20T16:59:34;firewall;PENDING;HIGH
9;Towels Legacy;2021-03-20T21:00:46;2021-03-20T15:22:30;Lake green;PENDING;MEDIUM
10;hack Clothing User-friendly;2021-03-20T12:23:24;2021-03-20T12:16:01;Franc JBOD intranet;COMPLETED;LOW
